reservoir_id,cwc_name,date,live_storage_bcm,percent_frl,percent_normal,live_capacity_at_frl_bcm,normal_storage_bcm,source_url,source_lines
tehri,Tehri,2026-04-30,0.205,7.82,9.68,2.615,,local://bulletin_2026_04_30.pdf,
mettur,Mettur,2026-04-30,1.196,45.19,44.39,2.647,,local://bulletin_2026_04_30.pdf,
jayakwadi,Jayakwadi,2026-04-30,1.039,47.87,32.76,2.171,,local://bulletin_2026_04_30.pdf,
indira_sagar,Indira Sagar,2026-04-30,3.091,31.72,31.74,9.745,,local://bulletin_2026_04_30.pdf,
nagarjuna_sagar,Nagarjuna Sagar,2026-04-30,0.799,15.64,11.36,5.108,,local://bulletin_2026_04_30.pdf,
srisailam,Srisailam,2026-04-30,1.022,17.0,13.18,6.013,,local://bulletin_2026_04_30.pdf,
sardar_sarovar,Sardar Sarovar,2026-04-30,3.085,53.55,20.43,5.76,,local://bulletin_2026_04_30.pdf,
ukai,Ukai,2026-04-30,3.488,52.73,39.51,6.615,,local://bulletin_2026_04_30.pdf,
kabini,Kabini,2026-04-30,0.074,16.69,20.05,0.444,,local://bulletin_2026_04_30.pdf,
hemavathy,Hemavathy,2026-04-30,0.37,39.89,27.44,0.927,,local://bulletin_2026_04_30.pdf,
harangi,Harangi,2026-04-30,0.07,31.59,26.91,0.22,,local://bulletin_2026_04_30.pdf,
vaigai,Vaigai,2026-04-30,0.009,5.25,34.6,0.172,,local://bulletin_2026_04_30.pdf,
idukki,Idukki,2026-04-30,0.451,30.89,33.8,1.46,,local://bulletin_2026_04_30.pdf,
idamalayar,Idamalayar,2026-04-30,0.289,28.41,29.04,1.018,,local://bulletin_2026_04_30.pdf,
bisalpur,Bisalpur,2026-04-30,0.846,78.62,43.26,1.076,,local://bulletin_2026_04_30.pdf,
maithon,Maithon,2026-04-30,0.371,78.77,58.05,0.471,,local://bulletin_2026_04_30.pdf,
panchet,Panchet,2026-04-30,0.184,100.0,64.4,0.184,,local://bulletin_2026_04_30.pdf,
bargi,Bargi,2026-04-30,1.003,31.54,45.47,3.18,,local://bulletin_2026_04_30.pdf,
singur,Singur,2026-04-30,0.179,21.72,39.48,0.822,,local://bulletin_2026_04_30.pdf,
pulichintala,Pulichintala,2026-04-30,0.692,53.23,24.9,1.3,,local://bulletin_2026_04_30.pdf,
somasila,Somasila,2026-04-30,1.416,71.02,42.06,1.994,,local://bulletin_2026_04_30.pdf,
yeleru,Yeleru,2026-04-30,0.106,20.87,22.01,0.508,,local://bulletin_2026_04_30.pdf,
kadana,Kadana,2026-04-30,0.695,47.2,39.85,1.472,,local://bulletin_2026_04_30.pdf,
panam,Panam,2026-04-30,0.321,46.08,35.37,0.697,,local://bulletin_2026_04_30.pdf,
hathmati,Hathmati,2026-04-30,0.102,66.55,19.72,0.153,,local://bulletin_2026_04_30.pdf,
pong_dam,Pong Dam,2026-04-30,2.343,38.05,26.81,6.157,,local://bulletin_2026_04_30.pdf,
kol_dam,Kol Dam,2026-04-30,0.063,71.21,61.16,0.089,,local://bulletin_2026_04_30.pdf,
tenughat,Tenughat,2026-04-30,0.265,32.28,38.87,0.821,,local://bulletin_2026_04_30.pdf,
konar,Konar,2026-04-30,0.079,44.89,41.99,0.176,,local://bulletin_2026_04_30.pdf,
tilaiya,Tilaiya,2026-04-30,0.021,14.79,17.46,0.142,,local://bulletin_2026_04_30.pdf,
gandhi_sagar,Gandhi Sagar,2026-04-30,4.397,64.41,46.32,6.827,,local://bulletin_2026_04_30.pdf,
tawa,Tawa,2026-04-30,0.543,27.93,28.23,1.944,,local://bulletin_2026_04_30.pdf,
omkareshwar,Omkareshwar,2026-04-30,0.177,59.22,20.73,0.299,,local://bulletin_2026_04_30.pdf,
mahi_bajaj_sagar,Mahi Bajaj Sagar,2026-04-30,0.684,39.97,31.91,1.711,,local://bulletin_2026_04_30.pdf,
rana_pratap_sagar,Rana Pratap Sagar,2026-04-30,0.529,36.84,39.23,1.436,,local://bulletin_2026_04_30.pdf,
jawai,Jawai Dam,2026-04-30,0.06,31.09,18.42,0.193,,local://bulletin_2026_04_30.pdf,
sriramsagar,Sriramsagar,2026-04-30,0.544,23.67,18.01,2.3,,local://bulletin_2026_04_30.pdf,
lower_manair,Lower Manair,2026-04-30,0.196,31.53,29.16,0.621,,local://bulletin_2026_04_30.pdf,
nizam_sagar,Nizam Sagar,2026-04-30,0.23,47.65,19.41,0.482,,local://bulletin_2026_04_30.pdf,
ramganga,Ramganga,2026-04-30,1.263,57.5,37.82,2.196,,local://bulletin_2026_04_30.pdf,
nanak_sagar,Nanak Sagar,2026-04-30,0.027,15.5,12.5,0.176,,local://bulletin_2026_04_30.pdf,
hirakud,Hirakud,2026-04-30,1.606,29.86,34.25,5.378,,local://bulletin_2026_04_30.pdf,
rengali,Rengali,2026-04-30,0.817,23.81,35.55,3.432,,local://bulletin_2026_04_30.pdf,
upper_indravati,Upper Indravati,2026-04-30,0.587,40.32,30.04,1.456,,local://bulletin_2026_04_30.pdf,
minimata_bango,Minimata Bango,2026-04-30,1.703,55.92,51.43,3.046,,local://bulletin_2026_04_30.pdf,
mahanadi_chhattisgarh,Mahanadi,2026-04-30,0.494,64.39,35.3,0.767,,local://bulletin_2026_04_30.pdf,
tandula,Tandula,2026-04-30,0.16,51.21,24.65,0.312,,local://bulletin_2026_04_30.pdf,
krs,Krishnaraja Sagara,2026-04-30,0.276,23.75,21.29,1.163,,local://bulletin_2026_04_30.pdf,
bhakra,Gobind Sagar,2026-04-30,2.165,34.76,25.48,6.229,,local://bulletin_2026_04_30.pdf,
bhavanisagar,Lower Bhawani,2026-04-30,0.227,28.71,34.87,0.792,,local://bulletin_2026_04_30.pdf,
khadakwasla,Khadakvasla,2026-04-30,0.023,41.64,52.63,0.056,,local://bulletin_2026_04_30.pdf,
totladoh,Pench,2026-04-30,0.542,49.69,39.11,1.091,,local://bulletin_2026_04_30.pdf,
